OBJECTID,ID,DIST_NM,DIST_NUM,CNTY_NM,CNTY_NUM,TRF_STA_ID,AADT_2022,x,y
74,29969,Odessa,6,UPTON,231,231FS306,6,-102.2178570004,31.1350480001651
75,30001,Odessa,6,UPTON,231,231FS16,14,-102.202315999584,31.1625440001056
76,30105,Odessa,6,UPTON,231,231FS10,12,-101.937912000438,31.220114000161
77,30249,Odessa,6,UPTON,231,231FS5A,4,-101.822746000028,31.4081120002687
78,30289,Odessa,6,Ector,69,69CR12,9,-102.751518000355,31.9145300002593
79,30305,Odessa,6,Ector,69,69U148,10,-102.753280999818,31.9203279996375
80,30433,Odessa,6,Ector,69,69RS178,13,-102.518302999684,31.8166280000822
81,30817,Odessa,6,ECTOR,69,69FS12,12,-102.411826999816,31.6984480000752
82,30849,Odessa,6,Crane,52,52CR21,5,-102.358475000021,31.525790999655
83,36745,Odessa,6,Midland,165,165UR117,2,-102.258674999552,31.9017699999856
84,36977,Odessa,6,ECTOR,69,69FS301,8,-102.618545999898,31.9862020004221
85,38145,Odessa,6,Andrews,2,2FS31,2,-102.425536999833,32.2932660000259
86,38233,Odessa,6,Midland,165,165FS17,10,-102.219405999887,31.8773560000794
87,39729,Odessa,6,Midland,165,165FS22,13,-101.781448000325,31.9475250001786
88,42385,Odessa,6,Midland,165,165RS53,13,-102.059699999555,31.9869519999349
89,43305,Odessa,6,MARTIN,156,156FS36,14,-102.11074800012,32.4952510003334
90,43345,Odessa,6,MARTIN,156,156FS32,2,-101.976616000128,32.5057950000393
91,43537,Odessa,6,Martin,156,156CR19,9,-101.913223000441,32.139785999924
92,43561,Odessa,6,Martin,156,156CR31,4,-101.882750999959,32.1823009999912
93,43937,Odessa,6,MARTIN,156,156FS11,7,-101.970978000035,32.4914399999561
94,43945,Odessa,6,MARTIN,156,156FS37,8,-101.911925999985,32.4694819999943
95,43969,Odessa,6,MARTIN,156,156FS16,9,-101.84955599981,32.4690279997424
96,43977,Odessa,6,MARTIN,156,156FS26,10,-101.848792999697,32.4938549998084
97,44009,Odessa,6,Martin,156,156U321,6,-101.791442999895,32.3687129998052
98,44065,Odessa,6,Martin,156,156CR76,12,-101.73294800035,32.3967019999973
99,44081,Odessa,6,MARTIN,156,156FS17,4,-101.714118999892,32.408458999883
100,44985,Lubbock,5,Yoakum,251,251FS34,6,-102.715240000126,33.3068660001658
101,45041,Lubbock,5,Terry,223,223CR73,11,-102.375893000162,33.0944370002674
102,45153,Lubbock,5,Terry,223,223CR107,7,-102.284385999914,33.178001000246
103,45721,Lubbock,5,Terry,223,223FS12,7,-102.338187999776,33.3699869999002
104,46401,Lubbock,5,Dawson,58,58CR39,7,-101.869796999732,32.6525189997521
